trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
44,0,44,0,75.15167950000614,,75.12805130000925,75.15167950000614,76.13690240000142,76.1551164999837,77.1352083000238,2,down,1,0.9868911999510601,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
45,0,45,0,77.15085340000223,,77.13638710003579,77.15085340000223,78.1364934000303,78.15350660000695,78.7057503000251,-5,down,1,0.5631681999657303,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
46,0,46,0,78.71932070003822,,78.70950769999763,78.71932070003822,79.72143660002621,79.72143660002621,80.42037659999914,0,up,1,0.6812567000160925,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
47,0,47,0,80.4360118000186,,80.42244140000548,80.4360118000186,81.43685410002945,81.43685410002945,82.08551250002347,-1,up,0,0.6371842999942601,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
48,0,48,0,82.10107800003607,,82.08664960000897,82.10107800003607,83.10114640003303,83.10114640003303,83.60455580003327,0,up,1,0.4869693000218831,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
49,0,49,0,83.61928280000575,,83.60818430001382,83.61928280000575,84.61772610002663,84.61772610002663,85.0849201999954,-2,up,0,0.4545670000370592,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
50,0,50,0,85.101269100036,,85.08612350001931,85.101269100036,86.08558429998811,86.10248210001737,86.5376064000302,2,down,1,0.44602700002724305,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
51,0,51,0,86.55159300001105,,86.54259170003934,86.55159300001105,87.55235539999558,87.55235539999558,88.12072930001887,1,down,1,0.5642732999986038,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
52,0,52,0,88.13546870002756,,88.12412170000607,88.13546870002756,89.1343998000375,89.1343998000375,89.67197840003064,3,down,1,0.5345620000152849,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
53,0,53,0,89.68607240001438,,89.67529059998924,89.68607240001438,90.68569140002364,90.68569140002364,91.08768480003346,3,down,1,0.39580659999046475,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
54,0,54,0,91.10225170000922,,91.09099980001338,91.10225170000922,92.10163190000458,92.10163190000458,92.66890789999161,0,up,1,0.5658232999849133,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
55,0,55,0,92.68467270000838,,92.67011250002543,92.68467270000838,93.66875210002763,93.68608230003156,94.33812319999561,-1,down,1,0.6627446000347845,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
56,0,56,0,94.35304640000686,,94.34321670001373,94.35304640000686,95.35272700001951,95.35272700001951,96.0046708000009,0,up,1,0.634744499984663,None,196271,001,2024-09-17_13h07.03.358,Signal detection,2024.1.5,None,2024-09-17 13h07.06.098915 +0530,
